"DNR_GRID_ID","Season","Resolution","TRUE_SPECIES","CROWD_SPECIES","Agreement_Species","TRUE_COUNT","ModeCrowdNAnimals.x","ModeCrowdNAnimals_Low","ModeCrowdNAnimals_High","Agreement_Total_CountTRUE","Agreement_Total_CountTRUE.low","Agreement_Total_CountTRUE.high","n_species_voted_for","numusers","propusers","Pielou_users","UserVotes","VarCrowdNAnimals","MeanCrowdNAnimals","Pielou_Nanimals","maxprop_NAnimals","jday","dectime","TW_Changes_Hour"
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0.1,1.1,0.468995594,0.9,139,17.98333333,0.700320447
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,3,1,0,3,0,0,0,1,141,15.16666667,0.055401657
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.8,0.581671866,8,0.1,0.9,0.468995594,0.9,142,9.216666667,0.055401657
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,142,11.75,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,8.1,1.9,0.503258335,0.888888889,143,6.016666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.785714286,0.749595257,11,0,1,0,1,143,6.033333333,0.705882087
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.111111111,1.111111111,0.503258335,0.888888889,143,8.85,0.714286123
"ELKBR003","1","Low","SQUIRREL","SQUIRREL",1,1,"1",1,1,1,1,1,4,14,0.571428571,0.825368708,8,0.20952381,0.733333333,0.836640742,0.785714286,143,18.63333333,0.327778585
"ELKBR003","1","Low","PORCUPINE","PORCUPINE",1,1,"1",1,1,1,1,1,6,15,0.466666667,0.83036632,7,0,1,0,1,143,23.06666667,0.242508303
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,146,10.08333333,0.016944366
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,12.5,2.25,0.543564443,0.875,147,19.36666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,147,19.36666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,148,23.6,0.088888889
"ELKBR003","1","Low","UNKNOWN","UNKNOWN",1,1,"1",1,1,1,1,1,4,16,0.4375,0.771782222,7,0.2625,0.5625,0.988699408,0.5625,149,10.85,0.364118226
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,149,14.48333333,0.275229338
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0.125,1.125,0.543564443,0.875,150,16.98333333,0.153452673
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,2.083333333,1.416666667,0.41381685,0.916666667,151,19.78333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,14,1,0,14,0,1,0,1,151,19.78333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,11,1,0,11,0,1,0,1,151,23,0.113851968
