"DNR_GRID_ID","Season","Resolution","TRUE_SPECIES","CROWD_SPECIES","Agreement_Species","TRUE_COUNT","ModeCrowdNAnimals.x","ModeCrowdNAnimals_Low","ModeCrowdNAnimals_High","Agreement_Total_CountTRUE","Agreement_Total_CountTRUE.low","Agreement_Total_CountTRUE.high","n_species_voted_for","numusers","propusers","Pielou_users","UserVotes","VarCrowdNAnimals","MeanCrowdNAnimals","Pielou_Nanimals","maxprop_NAnimals","jday","dectime","TW_Changes_Hour"
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0.1,1.1,0.468995594,0.9,1.39,1.798333333,0.700320447
"ELKBR003","1","Low","NOTHINGHERE","NOTHINGHERE",1,0,"0",0,0,1,1,1,1,3,1,0,3,0,0,0,1,1.41,1.516666667,0.055401657
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.8,0.581671866,8,0.1,0.9,0.468995594,0.9,1.42,0.9216666667,0.055401657
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,0,1,0,1,1.42,1.175,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,9,0.888888889,0.503258335,8,8.1,1.9,0.503258335,0.888888889,1.43,0.6016666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,14,0.785714286,0.749595257,11,0,1,0,1,1.43,0.6033333333,0.705882087
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.111111111,1.111111111,0.503258335,0.888888889,1.43,0.885,0.714286123
"ELKBR003","1","Low","SQUIRREL","SQUIRREL",1,1,"1",1,1,1,1,1,4,14,0.571428571,0.825368708,8,0.20952381,0.733333333,0.836640742,0.785714286,1.43,1.863333333,0.327778585
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,7,1,0,7,0,1,0,1,1.46,1.008333333,0.016944366
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,10,1,0,10,0,1,0,1,1.48,2.36,0.088888889
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0.125,1.125,0.543564443,0.875,1.5,1.698333333,0.153452673
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,12,1,0,12,2.083333333,1.416666667,0.41381685,0.916666667,1.51,1.978333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,14,1,0,14,0,1,0,1,1.51,1.978333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,11,1,0,11,0,1,0,1,1.51,2.3,0.113851968
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,2,15,0.933333333,0.353359335,14,0,1,0,1,1.53,1.525,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,3,10,0.7,0.729846699,7,0,1,0,1,1.54,1.393333333,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,8,1,0,8,0,1,0,1,1.54,1.431666667,0
"ELKBR003","1","Low","DEER","DEER",1,1,"1",1,1,1,1,1,1,9,1,0,9,0.444444444,1.222222222,0.503258335,0.888888889,1.55,1.835,0
